meshsize,radius,eccentricity,eta,lambda1,u l2_diff,u h1_diff,p l2_diff
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.000e-06,1.048e-09,1.827e-07,1.268e-05
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.823e-06,1.910e-09,3.330e-07,2.312e-05
2.500e-02,5.000e-01,2.500e-01,1.000e+00,3.323e-06,3.481e-09,6.070e-07,4.214e-05
2.500e-02,5.000e-01,2.500e-01,1.000e+00,6.057e-06,6.344e-09,1.106e-06,7.682e-05
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.104e-05,1.156e-08,2.017e-06,1.400e-04
2.500e-02,5.000e-01,2.500e-01,1.000e+00,2.013e-05,2.108e-08,3.676e-06,2.553e-04
2.500e-02,5.000e-01,2.500e-01,1.000e+00,3.669e-05,3.842e-08,6.701e-06,4.653e-04
2.500e-02,5.000e-01,2.500e-01,1.000e+00,6.687e-05,7.004e-08,1.222e-05,8.482e-04
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.219e-04,1.277e-07,2.227e-05,1.546e-03
2.500e-02,5.000e-01,2.500e-01,1.000e+00,2.222e-04,2.328e-07,4.059e-05,2.818e-03
2.500e-02,5.000e-01,2.500e-01,1.000e+00,4.050e-04,4.246e-07,7.400e-05,5.137e-03
2.500e-02,5.000e-01,2.500e-01,1.000e+00,7.383e-04,7.751e-07,1.349e-04,9.365e-03
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.346e-03,1.419e-06,2.459e-04,1.707e-02
2.500e-02,5.000e-01,2.500e-01,1.000e+00,2.453e-03,2.624e-06,4.480e-04,3.112e-02
2.500e-02,5.000e-01,2.500e-01,1.000e+00,4.472e-03,4.995e-06,8.141e-04,5.672e-02
2.500e-02,5.000e-01,2.500e-01,1.000e+00,8.152e-03,1.029e-05,1.470e-03,1.034e-01
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.486e-02,2.478e-05,2.628e-03,1.884e-01
2.500e-02,5.000e-01,2.500e-01,1.000e+00,2.709e-02,7.075e-05,4.724e-03,3.432e-01
2.500e-02,5.000e-01,2.500e-01,1.000e+00,4.937e-02,2.212e-04,8.706e-03,6.241e-01
2.500e-02,5.000e-01,2.500e-01,1.000e+00,9.000e-02,7.050e-04,1.999e-02,1.130e+00
