meshsize,radius,eccentricity,eta,lambda1,u l2_diff,u h1_diff,p l2_diff
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.000e-06,1.048e-09,1.827e-07,1.268e-05
2.500e-02,5.000e-01,2.500e-01,1.000e+00,3.000e-06,3.143e-09,5.480e-07,3.805e-05
2.500e-02,5.000e-01,2.500e-01,1.000e+00,5.000e-06,5.237e-09,9.133e-07,6.342e-05
2.500e-02,5.000e-01,2.500e-01,1.000e+00,7.000e-06,7.332e-09,1.279e-06,8.878e-05
2.500e-02,5.000e-01,2.500e-01,1.000e+00,9.000e-06,9.427e-09,1.644e-06,1.142e-04
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.000e-05,1.047e-08,1.827e-06,1.268e-04
2.500e-02,5.000e-01,2.500e-01,1.000e+00,3.000e-05,3.142e-08,5.480e-06,3.805e-04
2.500e-02,5.000e-01,2.500e-01,1.000e+00,5.000e-05,5.237e-08,9.134e-06,6.342e-04
2.500e-02,5.000e-01,2.500e-01,1.000e+00,7.000e-05,7.332e-08,1.279e-05,8.878e-04
2.500e-02,5.000e-01,2.500e-01,1.000e+00,9.000e-05,9.427e-08,1.644e-05,1.142e-03
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.000e-04,1.047e-07,1.827e-05,1.268e-03
2.500e-02,5.000e-01,2.500e-01,1.000e+00,3.000e-04,3.144e-07,5.481e-05,3.805e-03
2.500e-02,5.000e-01,2.500e-01,1.000e+00,5.000e-04,5.243e-07,9.135e-05,6.342e-03
2.500e-02,5.000e-01,2.500e-01,1.000e+00,7.000e-04,7.347e-07,1.279e-04,8.878e-03
2.500e-02,5.000e-01,2.500e-01,1.000e+00,9.000e-04,9.457e-07,1.644e-04,1.142e-02
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.000e-03,1.052e-06,1.827e-04,1.268e-02
2.500e-02,5.000e-01,2.500e-01,1.000e+00,3.000e-03,3.239e-06,5.475e-04,3.805e-02
2.500e-02,5.000e-01,2.500e-01,1.000e+00,5.000e-03,5.667e-06,9.092e-04,6.341e-02
2.500e-02,5.000e-01,2.500e-01,1.000e+00,7.000e-03,8.466e-06,1.266e-03,8.878e-02
2.500e-02,5.000e-01,2.500e-01,1.000e+00,9.000e-03,1.175e-05,1.618e-03,1.141e-01
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.000e-02,1.359e-05,1.793e-03,1.268e-01
2.500e-02,5.000e-01,2.500e-01,1.000e+00,3.000e-02,8.556e-05,5.230e-03,3.800e-01
2.500e-02,5.000e-01,2.500e-01,1.000e+00,5.000e-02,2.266e-04,8.822e-03,6.319e-01
2.500e-02,5.000e-01,2.500e-01,1.000e+00,7.000e-02,4.340e-04,1.296e-02,8.819e-01
2.500e-02,5.000e-01,2.500e-01,1.000e+00,9.000e-02,7.050e-04,1.999e-02,1.130e+00
