meshsize,radius,eccentricity,eta,lambda1,u l2_diff,u h1_diff,p l2_diff
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.000e-06,6.043e-09,9.949e-07,1.267e-05
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.823e-06,1.101e-08,1.813e-06,2.310e-05
2.500e-02,5.000e-01,2.500e-01,1.000e+00,3.323e-06,2.007e-08,3.305e-06,4.211e-05
2.500e-02,5.000e-01,2.500e-01,1.000e+00,6.057e-06,3.658e-08,6.022e-06,7.676e-05
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.104e-05,6.663e-08,1.097e-05,1.399e-04
2.500e-02,5.000e-01,2.500e-01,1.000e+00,2.013e-05,1.213e-07,1.997e-05,2.551e-04
2.500e-02,5.000e-01,2.500e-01,1.000e+00,3.669e-05,2.206e-07,3.630e-05,4.650e-04
2.500e-02,5.000e-01,2.500e-01,1.000e+00,6.687e-05,4.004e-07,6.587e-05,8.476e-04
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.219e-04,7.242e-07,1.191e-04,1.545e-03
2.500e-02,5.000e-01,2.500e-01,1.000e+00,2.222e-04,1.302e-06,2.138e-04,2.816e-03
2.500e-02,5.000e-01,2.500e-01,1.000e+00,4.050e-04,2.313e-06,3.792e-04,5.134e-03
2.500e-02,5.000e-01,2.500e-01,1.000e+00,7.383e-04,4.021e-06,6.568e-04,9.358e-03
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.346e-03,6.708e-06,1.088e-03,1.706e-02
2.500e-02,5.000e-01,2.500e-01,1.000e+00,2.453e-03,1.042e-05,1.666e-03,3.110e-02
2.500e-02,5.000e-01,2.500e-01,1.000e+00,4.472e-03,1.481e-05,2.290e-03,5.669e-02
2.500e-02,5.000e-01,2.500e-01,1.000e+00,8.152e-03,2.023e-05,2.879e-03,1.033e-01
2.500e-02,5.000e-01,2.500e-01,1.000e+00,1.486e-02,3.171e-05,3.473e-03,1.883e-01
2.500e-02,5.000e-01,2.500e-01,1.000e+00,2.709e-02,7.306e-05,4.214e-03,3.429e-01
2.500e-02,5.000e-01,2.500e-01,1.000e+00,4.937e-02,2.203e-04,5.975e-03,6.236e-01
2.500e-02,5.000e-01,2.500e-01,1.000e+00,9.000e-02,6.986e-04,1.267e-02,1.129e+00
