meshsize,eta,lambda1,u l2_diff,u h1_diff,p l2_diff
2.500e-02,1.000e+00,1.000e-06,1.593e-09,2.026e-08,2.964e-06
2.500e-02,1.000e+00,3.000e-06,4.783e-09,6.080e-08,8.893e-06
2.500e-02,1.000e+00,5.000e-06,7.978e-09,1.013e-07,1.482e-05
2.500e-02,1.000e+00,7.000e-06,1.118e-08,1.419e-07,2.075e-05
2.500e-02,1.000e+00,9.000e-06,1.439e-08,1.825e-07,2.668e-05
2.500e-02,1.000e+00,1.000e-05,1.599e-08,2.028e-07,2.964e-05
2.500e-02,1.000e+00,3.000e-05,4.840e-08,6.095e-07,8.893e-05
2.500e-02,1.000e+00,5.000e-05,8.138e-08,1.018e-06,1.482e-04
2.500e-02,1.000e+00,7.000e-05,1.149e-07,1.428e-06,2.075e-04
2.500e-02,1.000e+00,9.000e-05,1.491e-07,1.841e-06,2.668e-04
2.500e-02,1.000e+00,1.000e-04,1.664e-07,2.048e-06,2.964e-04
2.500e-02,1.000e+00,3.000e-04,5.452e-07,6.352e-06,8.892e-04
2.500e-02,1.000e+00,5.000e-04,9.917e-07,1.108e-05,1.482e-03
2.500e-02,1.000e+00,7.000e-04,1.511e-06,1.640e-05,2.074e-03
2.500e-02,1.000e+00,9.000e-04,2.107e-06,2.242e-05,2.667e-03
2.500e-02,1.000e+00,1.000e-03,2.435e-06,2.572e-05,2.963e-03
2.500e-02,1.000e+00,3.000e-03,1.338e-05,1.418e-04,8.881e-03
2.500e-02,1.000e+00,5.000e-03,3.293e-05,3.615e-04,1.479e-02
2.500e-02,1.000e+00,7.000e-03,6.115e-05,6.870e-04,2.069e-02
2.500e-02,1.000e+00,9.000e-03,9.803e-05,1.118e-03,2.659e-02
2.500e-02,1.000e+00,1.000e-02,1.197e-04,1.373e-03,2.953e-02
