meshsize,eta,lambda1,u l2_diff,u h1_diff,p l2_diff
2.500e-02,1.000e+00,1.000e-06,1.754e-09,2.611e-07,2.965e-06
2.500e-02,1.000e+00,1.747e-06,3.065e-09,4.559e-07,5.178e-06
2.500e-02,1.000e+00,3.051e-06,5.356e-09,7.960e-07,9.045e-06
2.500e-02,1.000e+00,5.329e-06,9.362e-09,1.389e-06,1.580e-05
2.500e-02,1.000e+00,9.308e-06,1.637e-08,2.424e-06,2.760e-05
2.500e-02,1.000e+00,1.626e-05,2.866e-08,4.226e-06,4.820e-05
2.500e-02,1.000e+00,2.840e-05,5.026e-08,7.356e-06,8.419e-05
2.500e-02,1.000e+00,4.960e-05,8.841e-08,1.277e-05,1.471e-04
2.500e-02,1.000e+00,8.664e-05,1.563e-07,2.206e-05,2.568e-04
2.500e-02,1.000e+00,1.513e-04,2.791e-07,3.780e-05,4.486e-04
2.500e-02,1.000e+00,2.643e-04,5.072e-07,6.376e-05,7.835e-04
2.500e-02,1.000e+00,4.617e-04,9.518e-07,1.045e-04,1.368e-03
2.500e-02,1.000e+00,8.064e-04,1.887e-06,1.628e-04,2.390e-03
2.500e-02,1.000e+00,1.409e-03,4.067e-06,2.341e-04,4.173e-03
2.500e-02,1.000e+00,2.460e-03,9.679e-06,3.096e-04,7.285e-03
2.500e-02,1.000e+00,4.297e-03,2.519e-05,4.326e-04,1.272e-02
2.500e-02,1.000e+00,7.506e-03,6.982e-05,8.701e-04,2.218e-02
2.500e-02,1.000e+00,1.311e-02,2.009e-04,2.373e-03,3.868e-02
2.500e-02,1.000e+00,2.290e-02,5.876e-04,6.988e-03,6.748e-02
2.500e-02,1.000e+00,4.000e-02,1.705e-03,2.052e-02,1.181e-01
